<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>
WC,150818,504.50,504.50,498.75,498.75,54986
WC,150819,498.75,500.00,498.75,500.00,61932
WC,150820,500.00,511.25,500.00,511.25,65085
WC,150821,511.25,511.25,504.00,504.00,65085
WC,150824,504.00,508.00,504.00,508.00,83197
WC,150825,508.00,508.00,499.50,499.50,83197
WC,150826,499.50,499.50,494.25,494.25,91360
WC,150827,494.25,494.25,489.75,489.75,114153
WC,150828,489.75,489.75,483.75,483.75,114153
WC,150831,483.75,485.00,483.75,485.00,76471
WC,150901,485.00,486.25,485.00,486.25,73628
WC,150902,486.25,486.25,479.00,479.00,78632
WC,150903,479.00,479.00,465.25,465.25,87277
WC,150904,465.25,467.75,465.25,467.75,87277
WC,150907,457.75,457.75,457.75,457.75,0
WC,150908,467.75,475.00,467.75,475.00,53342
WC,150909,475.00,475.00,472.25,472.25,57830
WC,150910,472.25,478.00,472.25,478.00,57830
WC,150911,478.00,485.00,478.00,485.00,75842
WC,150914,485.00,501.25,485.00,501.25,80355
WC,150915,501.25,501.25,494.75,494.75,80355
WC,150916,494.75,494.75,488.25,488.25,58317
WC,150917,488.25,488.25,481.50,481.50,57613
WC,150918,481.50,486.75,481.50,486.75,44517
WC,150921,486.75,496.75,486.75,496.75,67083
WC,150922,496.75,496.75,495.50,495.50,67083
WC,150923,495.50,507.50,495.50,507.50,76320
WC,150924,507.50,507.50,497.25,497.25,76320
WC,150925,497.25,507.75,497.25,507.75,59650
WC,150928,507.75,507.75,505.50,505.50,67309
WC,150929,505.50,505.50,503.75,503.75,67309
WC,150930,503.75,512.75,503.75,512.75,103544
WC,151001,512.75,518.25,512.75,518.25,103544
WC,151002,518.25,518.25,513.25,513.25,95783
WC,151005,513.25,515.50,513.25,515.50,62642
WC,151006,515.50,526.25,515.50,526.25,68615
WC,151007,526.25,526.25,516.75,516.75,68717
WC,151008,516.75,516.75,511.50,511.50,68794
WC,151009,511.50,511.50,509.25,509.25,80570
WC,151012,509.25,509.25,506.75,506.75,80570
WC,151013,506.75,519.00,506.75,519.00,68044
WC,151014,519.00,519.00,508.25,508.25,68044
WC,151015,508.25,508.25,502.50,502.50,56488
WC,151016,502.50,502.50,492.25,492.25,91068
WC,151019,492.25,492.25,485.75,485.75,91068
WC,151020,485.75,491.25,485.75,491.25,71086
WC,151021,491.25,494.75,491.25,494.75,46451
WC,151022,494.75,494.75,490.75,490.75,50127
WC,151023,490.75,490.75,490.50,490.50,71235
WC,151026,490.50,509.00,490.50,509.00,108092
WC,151027,509.00,509.25,509.00,509.25,108092
WC,151028,509.25,509.25,506.00,506.00,82173
WC,151029,506.00,515.00,506.00,515.00,94994
WC,151030,515.00,522.00,515.00,522.00,94994
WC,151102,522.00,522.00,508.00,508.00,70898
WC,151103,508.00,516.50,508.00,516.50,70898
WC,151104,516.50,526.25,516.50,526.25,112473
WC,151105,526.25,526.25,526.25,526.25,115823
WC,151106,526.25,526.25,523.25,523.25,115823
WC,151109,523.25,523.25,501.75,501.75,131560
WC,151110,501.75,501.75,490.75,490.75,133293
WC,151111,490.75,494.75,490.75,494.75,133293
WC,151112,494.75,498.00,494.75,498.00,87359
WC,151113,498.00,498.00,495.75,495.75,87359
WC,151116,495.75,495.75,494.00,494.00,50136
WC,151117,495.50,495.50,487.00,487.00,78954
WC,151118,487.00,487.00,485.00,485.00,78954
WC,151119,485.00,492.25,485.00,492.25,58602
WC,151120,492.25,492.25,490.00,490.00,58071
WC,151123,490.00,497.75,490.00,497.75,76804
WC,151124,497.75,497.75,488.50,488.50,76804
WC,151125,488.50,488.50,487.50,487.50,72885
WC,151126,479.25,479.25,479.25,479.25,0
WC,151127,487.50,487.50,479.00,479.00,69745
WC,151130,479.00,479.00,475.50,475.50,100414
WC,151201,475.50,475.50,471.50,471.50,100414
WC,151202,471.50,471.50,467.25,467.25,70396
WC,151203,467.25,478.75,467.25,478.75,75682
WC,151204,478.75,484.50,478.75,484.50,75682
WC,151207,484.50,484.50,482.75,482.75,78087
WC,151208,482.75,482.75,481.50,481.50,78087
WC,151209,481.50,489.75,481.50,489.75,56275
WC,151210,489.75,495.50,489.75,495.50,56275
WC,151211,495.50,495.50,490.50,490.50,55281
WC,151214,490.50,493.50,490.50,493.50,46576
WC,151215,493.50,494.25,493.50,494.25,50977
WC,151216,494.25,494.25,483.50,483.50,56697
WC,151217,483.50,484.00,483.50,484.00,72702
WC,151218,484.00,486.75,484.00,486.75,72904
WC,151221,486.75,486.75,479.00,479.00,72904
WC,151222,479.00,479.00,471.75,471.75,45649
WC,151223,471.75,471.75,469.50,469.50,45031
WC,151224,469.50,469.50,467.50,467.50,41185
WC,151225,467.50,467.50,467.50,467.50,0
WC,151228,467.50,467.50,466.50,466.50,30601
WC,151229,466.50,475.75,466.50,475.75,36636
WC,151230,475.75,475.75,469.75,469.75,41223
WC,151231,469.75,470.00,469.75,470.00,41223
WC,160101,470.00,470.00,470.00,470.00,0
WC,160104,470.00,470.00,458.25,458.25,79124
WC,160105,458.25,461.25,458.25,461.25,79124
WC,160106,461.25,462.75,461.25,462.75,52297
WC,160107,462.75,468.50,462.75,468.50,65716
WC,160108,468.50,478.50,468.50,478.50,86311
WC,160111,478.50,478.50,469.00,469.00,86311
WC,160112,469.00,481.25,469.00,481.25,111042
WC,160113,481.25,481.25,478.00,478.00,111042
WC,160114,478.00,478.00,468.75,468.75,63921
WC,160115,468.75,473.75,468.75,473.75,61410
WC,160118,473.75,473.75,473.75,473.75,0
WC,160119,473.75,474.50,473.75,474.50,53537
WC,160120,474.50,474.50,471.50,471.50,57335
WC,160121,471.50,475.00,471.50,475.00,66429
WC,160122,475.00,475.50,475.00,475.50,66429
WC,160125,475.50,481.50,475.50,481.50,69027
WC,160126,481.50,484.75,481.50,484.75,70110
WC,160127,484.75,484.75,476.50,476.50,76816
WC,160128,476.50,476.50,472.25,472.25,76816
WC,160129,472.25,479.25,472.25,479.25,63054
WC,160201,479.25,479.25,475.25,475.25,63054
WC,160202,475.25,475.25,475.25,475.25,81869
WC,160203,475.25,480.00,475.25,480.00,81869
WC,160204,480.00,480.00,472.75,472.75,82202
WC,160205,472.75,472.75,466.75,466.75,124187
WC,160208,466.75,466.75,458.50,458.50,124187
WC,160209,458.50,458.50,457.50,457.50,106709
WC,160210,457.50,461.25,457.50,461.25,98224
WC,160211,461.25,461.25,458.25,458.25,105497
WC,160212,458.25,458.25,457.50,457.50,105497
WC,160215,457.50,457.50,457.50,457.50,0
WC,160216,457.50,464.25,457.50,464.25,78290
WC,160217,464.25,468.50,464.25,468.50,78290
WC,160218,468.50,468.50,462.25,462.25,84535
WC,160219,462.25,462.25,461.75,461.75,84535
WC,160222,466.75,466.75,464.00,464.00,66052
WC,160223,464.00,464.00,455.75,455.75,92246
WC,160224,455.75,455.75,451.25,451.25,94442
WC,160225,451.25,454.00,451.25,454.00,94442
WC,160226,454.00,454.00,452.25,452.25,66911
WC,160229,452.25,453.25,452.25,453.25,66911
WC,160301,453.25,453.25,446.00,446.00,60724
WC,160302,446.00,450.25,446.00,450.25,60724
WC,160303,450.25,459.75,450.25,459.75,86751
WC,160304,459.75,460.75,459.75,460.75,86751
WC,160307,460.75,462.75,460.75,462.75,66558
WC,160308,462.75,465.25,462.75,465.25,58991
WC,160309,465.25,468.25,465.25,468.25,57585
WC,160310,468.25,477.00,468.25,477.00,78320
WC,160311,477.00,477.00,475.75,475.75,78320
WC,160314,475.75,478.75,475.75,478.75,57239
WC,160315,478.75,478.75,477.25,477.25,44445
WC,160316,477.25,477.25,470.75,470.75,40065
WC,160317,470.75,470.75,462.50,462.50,86914
WC,160318,462.50,463.00,462.50,463.00,86914
WC,160321,463.00,466.50,463.00,466.50,59600
WC,160322,466.50,466.75,466.50,466.75,59600
WC,160323,466.75,466.75,463.00,463.00,47966
WC,160324,463.00,463.00,463.00,463.00,39232
WC,160325,463.00,463.00,463.00,463.00,0
WC,160328,463.00,471.00,463.00,471.00,63256
WC,160329,471.00,476.75,471.00,476.75,63256
WC,160330,476.75,476.75,464.00,464.00,76784
WC,160331,464.00,473.50,464.00,473.50,114421
WC,160401,473.50,475.75,473.50,475.75,114421
WC,160404,475.75,475.75,474.75,474.75,59592
WC,160405,474.75,474.75,474.00,474.00,52802
WC,160406,474.00,474.00,463.00,463.00,77657
WC,160407,463.00,463.00,457.00,457.00,77657
WC,160408,457.00,460.25,457.00,460.25,82236
WC,160411,460.25,460.25,447.25,447.25,103496
WC,160412,447.25,452.50,447.25,452.50,103496
WC,160413,452.50,461.50,452.50,461.50,111478
WC,160414,461.50,461.50,459.75,459.75,111478
WC,160415,459.75,459.75,459.75,459.75,90505
WC,160418,467.50,481.00,467.50,481.00,102524
WC,160419,481.00,494.25,481.00,494.25,102531
WC,160420,494.25,512.25,494.25,512.25,112621
WC,160421,512.25,512.25,503.50,503.50,148402
WC,160422,503.50,503.50,474.00,474.00,155005
WC,160425,474.00,477.75,474.00,477.75,155005
WC,160426,477.75,487.75,477.75,487.75,106996
WC,160427,487.75,487.75,483.50,483.50,89216
WC,160428,483.50,485.50,483.50,485.50,86055
WC,160429,485.50,488.50,485.50,488.50,86055
WC,160502,488.50,488.50,487.75,487.75,72813
WC,160503,487.75,487.75,470.75,470.75,118094
WC,160504,470.75,471.25,470.75,471.25,118094
WC,160505,471.25,471.25,463.25,463.25,74916
